1105,SA Cup,1991-12-11
2227,L1 Cup,1995-01-09
3559,C1 Cup,1985-11-02
358,SA Cup,1979-01-22
2695,L1 Cup,1951-10-22
217,C2 Cup,1989-04-23
2497,L1 Cup,1980-06-28
2662,L1 Cup,1969-10-25
40,FA Cup,1992-02-26
322,FA Cup,1998-06-12
3886,LLG Cup,1950-10-26
3523,FA Cup,1985-02-06
739,SA Cup,1972-07-08
3835,C1 Cup,1978-02-10
2503,FA Cup,1971-06-21
1441,CRB Cup,1989-07-15
1750,L1 Cup,1958-05-17
3517,SA Cup,1963-06-20
3859,SA Cup,1964-11-12
2041,DB Cup,1990-12-06
2194,C3 Cup,1990-09-18
394,FA Cup,1953-02-08
2749,C2 Cup,1993-09-02
1918,C1 Cup,1965-10-25
622,SA Cup,1995-06-01
3142,C1 Cup,1977-09-14
1792,FA Cup,1970-09-12
2896,C2 Cup,1985-02-21
3640,C1 Cup,1991-09-20
3454,LLG Cup,1986-06-06
1642,C3 Cup,1977-02-27
3268,SA Cup,1995-04-01
145,CRB Cup,1993-05-05
1891,LLG Cup,1998-01-19
529,C2 Cup,1950-09-06
1528,L1 Cup,1987-02-02
2245,LLG Cup,1956-06-25
898,C1 Cup,1994-01-17
2758,C3 Cup,1954-12-16
166,C2 Cup,1957-04-10
1723,C1 Cup,1992-09-28
3085,C1 Cup,1971-02-13
136,SA Cup,1992-12-21
3526,L1 Cup,1995-07-29
1933,DB Cup,1976-04-30
1984,C3 Cup,1982-01-03
2515,C1 Cup,1996-12-14
3730,FA Cup,1963-01-14
2161,C2 Cup,1972-12-30
904,SA Cup,1994-10-20
3577,LLG Cup,1968-08-20
3583,C1 Cup,1963-08-28
2866,C2 Cup,1990-10-12
2911,L1 Cup,1994-01-19
247,L1 Cup,1968-08-27
3850,EPL Cup,1954-12-14
1378,FA Cup,1954-11-30
337,CRB Cup,1988-08-09
3808,C3 Cup,1983-10-18
949,SA Cup,1976-02-27
2956,DB Cup,1969-09-30
208,C1 Cup,1983-03-12
1261,C1 Cup,1961-08-12
625,FA Cup,1963-07-27
3922,C3 Cup,1956-04-03
2530,L1 Cup,1990-04-13
3037,L1 Cup,1976-05-01
1543,SA Cup,1975-09-03
2584,C1 Cup,1991-06-21
3562,C2 Cup,1977-07-14
2800,LLG Cup,1962-04-07
1297,EPL Cup,1997-09-02
3553,C1 Cup,1952-02-11
376,SA Cup,1975-06-16
2284,FA Cup,1976-10-23
172,L1 Cup,1956-09-26
808,EPL Cup,1997-11-08
3865,C2 Cup,1959-11-13
1624,EPL Cup,1950-06-02
1822,SA Cup,1968-12-09
7,L1 Cup,1987-09-01
370,C1 Cup,1987-09-11
3544,EPL Cup,1953-06-24
2587,C1 Cup,1980-04-28
844,SA Cup,1958-03-05
1609,L1 Cup,1966-10-24
1126,C2 Cup,1970-06-13
1867,CRB Cup,1992-06-04
784,FA Cup,1975-12-07
2902,FA Cup,1971-01-17
2509,LLG Cup,1956-11-08
3262,EPL Cup,1961-08-25
3973,C1 Cup,1998-10-11
3187,SA Cup,1984-02-16
1516,SA Cup,1968-01-25
3355,L1 Cup,1956-05-30
3334,EPL Cup,1964-07-19
1567,LLG Cup,1957-08-24
964,C3 Cup,1981-09-14
